stdno,name,gender,country,curriculum,scholarship,college,earned,classif,yearlevel,allowed,grp,npriority,nalternates,ncurrent
3311-40158,Carl Gray,M,1,DVM-2011,0,CVM,113,2,4,21,4,6,1,0,
6428-78169,Emma Carr,F,1,BSABE-2011,0,CEAT,111,3,4,20,4,6,2,0,
5230-43061,Dan Clark,M,1,BSA-2002-PR,0,CA,120,3,4,21,4,3,0,0,
3804-71906,Isaac Marshall,M,1,BSCS-2002-SP-PR,0,CAS,123,4,4,17,4,1,0,0,
3140-07984,Samantha Bell,M,1,BSCE-2008,0,CEAT,152,4,5,20,4,4,0,0,
1798-40210,Theresa MacDonald,F,1,BSIE-2002,0,CEAT,130,3,4,21,4,6,0,0,
4096-47845,Christian Watson,F,1,DVM-2002,0,CVM,214,4,6,21,4,1,0,0,
0452-85594,Neil Underwood,M,1,BSCS-2002-SP-PR,0,CAS,41,2,2,18,4,7,7,0,
8260-95108,Gordon Reid,M,1,BSEE-2002,0,CEAT,172,4,5,19,4,1,0,0,
2449-22676,Amelia James,M,1,DVM-2002,0,CVM,158,3,5,21,4,7,1,0,
7962-71464,Olivia Davies,M,1,BSAE-2006,0,CEAT,64,2,3,20,4,7,1,0,
8229-27957,Fiona Ince,F,1,BACA-2002-WR-TH,0,CAS,75,3,3,18,4,7,5,0,
1611-00838,John Mitchell,F,1,DVM-2002,0,CVM,196,4,6,21,4,6,0,0,
8684-35164,Blake Sanderson,M,1,BSEE-2002,0,CEAT,107,3,4,20,4,7,4,0,
8206-98741,Rebecca Manning,M,1,DVM-2002,0,CVM,114,2,4,21,4,5,0,0,
6826-21063,Jennifer Clark,M,1,BSCE-2008,0,CEAT,163,4,5,20,4,3,0,0,
3342-42953,Benjamin Clarkson,M,1,BSEE-2002,0,CEAT,165,4,5,19,4,2,0,0,
7511-96189,Kylie Baker,F,1,BSCHE-2006-GEN,0,CEAT,171,4,5,20,4,1,0,0,
7982-94981,Joe Nolan,F,1,BSBIO-2002-SYS-TH,0,CAS,116,4,4,19,4,5,0,0,
3355-38183,Christian Lyman,M,1,BSA-2002-PR,0,CA,138,4,4,21,4,8,0,0,
8031-18436,Gabrielle Watson,F,1,BSCE-2008,0,CEAT,160,4,5,20,4,4,0,0,
6974-92458,Kimberly Hart,F,1,DVM-2002,0,CVM,150,3,5,21,4,4,0,0,
7681-41409,Dominic McLean,F,1,DVM-2002,0,CVM,144,3,5,21,4,4,0,0,
3940-20213,Hannah Powell,M,1,BSEE-2002,0,CEAT,151,4,5,19,4,5,0,0,
3647-43845,Matt Johnston,M,1,BSCHEM-2002,0,CAS,127,4,4,18,4,6,0,0,
2731-85480,Carl Gray,M,1,BSEE-2010,0,CEAT,175,4,5,19,4,2,0,0,
6593-49467,Matt May,M,1,BSIE-2008-PR,0,CEAT,173,4,5,16,4,3,0,0,
9854-54283,Alexander Bond,F,1,BSCE-2008-TH,0,CEAT,157,4,5,20,4,3,0,0,
9495-29783,Liam Blake,M,1,BSCE-2008,0,CEAT,172,4,5,19,4,3,0,0,
9590-02837,Sue Hart,M,1,BSCHE-2006-GEN,0,CEAT,168,4,5,20,4,4,0,0,
5193-69869,Anne Knox,M,1,BSCHE-2006-GEN,0,CEAT,165,4,5,20,4,4,0,0,
7081-91213,Evan Clark,M,1,BSCE-2008,0,CEAT,169,4,5,20,4,2,0,0,
8824-47249,Elizabeth Wright,M,1,BSDC-2008,0,CDC,84,3,3,18,4,6,4,0,
2700-01146,Nathan Morgan,F,1,BSAECO-2002,0,CEM,121,4,4,18,4,2,0,0,
5928-82951,Andrea Manning,F,1,BSCHE-2011-GEN,0,CEAT,83,2,3,20,4,6,4,0,
2791-18313,Lucas Hill,F,1,BSSTAT-2008,0,CAS,109,3,4,19,4,5,0,0,
1360-78499,Dominic Langdon,F,1,BSAECO-2002,0,CEM,103,3,4,18,4,5,0,0,
9555-76059,Adam Welch,M,1,BSMST-2002-MATH,0,CAS,78,3,3,21,4,7,0,0,
9827-19863,Tracey Hill,M,1,BSA-2002-PR,0,CA,105,3,4,21,4,7,4,0,
9377-96897,Brandon Slater,M,1,BSIE-2008,0,CEAT,174,4,5,16,4,1,0,0,
2923-47012,Sarah Young,F,1,BSDC-2008,0,CDC,132,4,4,19,4,3,0,0,
4842-28493,Anne Arnold,F,1,BASOC-2002-SC,0,CAS,120,4,4,18,4,4,0,0,
8508-36463,Diana Martin,M,1,BSCHE-2006-GEN,0,CEAT,153,4,5,20,4,5,0,0,
7803-28715,Hannah Skinner,F,1,BSBIO-2002-ECO-CW,0,CAS,87,3,3,21,4,7,3,0,
8439-04508,Peter Greene,M,1,BSAE-2006,0,CEAT,173,4,5,19,4,3,0,0,
2799-81203,Victoria Poole,F,1,DVM-2002,0,CVM,124,3,4,21,4,5,0,0,
9758-75416,Colin Duncan,F,1,BSN-2002,0,CHE,132,4,4,21,4,2,0,0,
4387-96023,Jessica Rampling,M,1,BSDC-2008,0,CDC,99,3,4,18,4,6,3,0,
4167-43374,Boris Fraser,F,1,BSN-2002,0,CHE,119,4,4,21,4,2,0,0,
6123-67065,Richard Walsh,M,1,BSCE-2008,0,CEAT,178,4,5,19,4,2,0,0,
