stdno,name,gender,country,curriculum,scholarship,college,earned,classif,yearlevel,allowed,grp,npriority,nalternates,ncurrent
1270-24737,Lisa Nash,M,1,BSDC-2002-EDCOM,0,CDC,142,4,4,19,2,2,0,0,
4874-45702,Penelope King,F,1,BSIE-2008,0,CEAT,188,4,5,16,2,1,0,0,
0398-85460,Liam Parsons,F,1,BSCS-2002-SP-PR,0,CAS,140,4,4,17,2,2,0,0,
2193-34051,Lisa Nash,F,1,BSEE-2002,0,CEAT,184,4,5,19,2,2,0,0,
9535-11439,Irene Wright,F,1,BSDC-2002-COMBROAD,0,CDC,139,4,4,19,2,3,0,0,
2881-83220,Julia Morrison,F,1,BSCS-2002-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
1122-59308,Jacob Greene,M,1,BSCHE-2006-ST,0,CEAT,192,4,5,10,2,1,0,0,
2224-80316,Carl Vance,M,1,BSAE-2006,0,CEAT,179,4,5,19,2,4,0,0,
2760-32013,Justin Duncan,M,1,BSIE-2008,0,CEAT,189,4,5,16,2,1,0,0,
4903-57364,Andrea Blake,M,1,BSDC-2002-DEVJOURN,0,CDC,139,4,4,19,2,2,0,0,
9233-75097,Jason Parr,M,1,BSCS-2002-SP-PR,0,CAS,142,4,4,17,2,1,0,0,
7016-37611,Zoe Manning,M,1,BSCHEM-2002,0,CAS,157,4,4,19,2,2,0,0,
8757-53105,Charles White,F,1,DVM-2002,0,CVM,216,4,6,21,2,2,0,0,
0136-36170,Eric Ince,M,1,BASOC-2002-PR,0,CAS,135,4,4,18,2,1,0,0,
8912-00328,Lily Chapman,F,1,BSDC-2002-EDCOM,0,CDC,139,4,4,19,2,3,0,0,
4336-51826,Christopher Cameron,M,1,BSDC-2002-COMBROAD,0,CDC,142,4,4,19,2,2,0,0,
0631-59100,Cameron Harris,F,1,BSABM-2002,0,CEM,140,4,4,15,2,1,0,0,
8552-74840,Emily Murray,M,1,BASOC-2002-PR,0,CAS,135,4,4,18,2,1,0,0,
